Probe name,Rating in cell,Rating in organism,Number of Ratings,Unsuitable,URL,Target name,Target class,Target subclass,Published on,Uniprot ID,InChI key,SMILES,PAINS,Toxicophore,ChEMBL ID,canSAR ID,Reference (PMID),Mechanism of action,Potency value,Potency assay,Potency value in cells,Potency assay (cells),Potency in cells,Organism,Dose,Control compound
Please cite the Chemical Probes Portal
SGC0946,3.8,0.0,4.0,No,https://www.chemicalprobes.org/sgc0946,DOT1L,Epigenetic,Protein methyltransferase,2015-10-02,Q8TEK3,IQCKJUKAQJINMK-HUBRGWSESA-N,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O,No,No,CHEMBL3087498,828356,"www.doi.org/10.1038/ncomms2304, http://www.ncbi.nlm.nih.gov/pubmed/23250418",Inhibitor,0.06 nM,SPR; IC50 = 0.3 nM in enzymatic assay,8.8 nM,in-cell western assay assessing methylation of protein substrate in MCF10A cells,IC50,,,SGC0649
EPZ020411,2.7,2.7,3.0,No,https://www.chemicalprobes.org/epz020411,PRMT6,Epigenetic,Protein methyltransferase,2015-11-05,Q96LA8,QMDKVNSQXPVCRD-RQNOJGIXSA-N,CNCCN(C)Cc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCOCC3)C2)cc1,No,No,CHEMBL3589039,469025,"www.doi.org/10.1021/acsmedchemlett.5b00071, http://www.ncbi.nlm.nih.gov/pubmed/?term=26101569",Inhibitor,0.010 uM,Inhibition of 3H-SAM-dependent labeling of peptide substrate and quantification of 3H-labeled peptide.,0.0637 uM,H3R2 methylation in PRMT6-overexpressing A375 cells.,IC50,Other,5 mg/mL,
I-BRD9,3.0,0.0,3.0,No,https://www.chemicalprobes.org/i-brd9,BRD9,Epigenetic,Bromodomain,2016-07-29,Q9H8M2,WRUWGLUCNBMGPS-UHFFFAOYSA-N,CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O,No,No,CHEMBL3769507,541825,"http://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.5b00256, https://www.ncbi.nlm.nih.gov/pubmed/25856009",Antagonist,BRD9 7.3,"TR-FRET, and BROMOscan profiling with N-methyl Kac mimetic: BRD9 pKD = 8.7.",,"In HUT-78 cells, chemoproteomic competitive binding assays showed I-BRD9 was >625-fold selective for BRD9 over BRD3",,,,Not available
CFI-400945,1.7,1.7,3.0,No,https://www.chemicalprobes.org/cfi-400945,PLK4,Protein kinase,Other,2015-12-10,O00444,DADASRPKWOGKCU-FVTQAUBDSA-N,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5C[C@H](C)O[C@H](C)C5)cc4)n[nH]c3c1)C(=O)N2,No,No,CHEMBL3408947,829372,"http://www.sciencedirect.com/science/article/pii/S1535610814002219, http://www.ncbi.nlm.nih.gov/pubmed/25043604",ATP-competitive inhibitor,0.26 nM,In vitro kinase assay IC50 = 2.8 nM,12.3 nM,Inhibition of PLK4 autophosphorylation in PLK4-overexpressing cells.,EC50,Other,2.4-20 mg/kg,
BIX-02565,3.0,2.0,2.0,No,https://www.chemicalprobes.org/bix-02565,RPS6KA3,Protein kinase,AGC,2021-02-02,P51812,ZHMXXVNQAFCXKK-QGZVFWFLSA-N,C[C@@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21,No,No,CHEMBL1933288,592803,"www.doi.org/10.1016/j.bmcl.2011.10.029, www.doi.org/10.1124/jpet.111.189365, https://pubmed.ncbi.nlm.nih.gov/22056746/, https://pubmed.ncbi.nlm.nih.gov/22128344/",Inhibitor,1 nM,,20 nM,Inhibition of substrate phosphorylation,IC50,Other,"1,3, 10 (IV) mg/Kg; , 30, 100, 300 (PO) mg/Kg",
PRT062607,3.7,3.7,3.0,No,https://www.chemicalprobes.org/prt062607,SYK,Protein kinase,TK,2015-12-10,P43405,TXGKRVFSSHPBAJ-JKSUJKDBSA-N,NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,No,No,CHEMBL2177736,267014,"www.doi.org/10.1124/jpet.111.188441, http://www.ncbi.nlm.nih.gov/pubmed/22040680",Inhibitor,2.1 nM,"Radiometric assay; in a FRET-based assay, IC50 = 6 nM",0.16-0.4 uM,Inhibition of protein substrate phosphorylation in B cells,IC50,Other,30 mg/kg,
KU-60019,2.0,1.7,3.0,No,https://www.chemicalprobes.org/ku-60019,ATM,Protein kinase,Atypical,2015-12-10,Q13315,SCELLOWTHJGVIC-BGYRXZFFSA-N,C[C@H]1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@@H](C)O1,No,Yes,CHEMBL2140173,856836,"www.doi.org/10.1158/1535-7163.MCT-09-0519, http://www.ncbi.nlm.nih.gov/pubmed/19808981",Inhibitor,6.3 nM,,,Dose-dependent inhibition of protein substrate phosphorylation in U87 glioma cells,,,,
GNE7915,3.0,3.0,3.0,No,https://www.chemicalprobes.org/gne7915,LRRK2,Protein kinase,TKL,2015-12-10,Q5S007,XCFLWTZSJYBCPF-UHFFFAOYSA-N,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,No,No,CHEMBL2178134,379695,"www.doi.org/10.1021/jm301020q, http://www.ncbi.nlm.nih.gov/pubmed/22985112",Competitive inhibitor,1 nM,,9 nM,Inhibition of autophosphorylation,IC50,Other,0.5 mg/kg,
CCT241533,3.7,2.0,3.0,No,https://www.chemicalprobes.org/cct241533,CHEK2,Protein kinase,CAMK,2015-12-10,O96017,HZASIAXCPXTISQ-NVXWUHKLSA-N,COc1cc2nc(-c3cc(F)ccc3O)nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC,No,No,CHEMBL1236782,432350,"www.doi.org/10.1158/0008-5472.CAN-10-1252, http://www.ncbi.nlm.nih.gov/pubmed/21239475",ATP-competitive inhibitor,1.16 nM,Radiometric assay; IC50 in kinase assay = 3 nM,,"In HT-29 and HeLa cells, CCT24133 inhibited phosphorylation of CHEK2 substrates more than CHEK1 substrates.",,Other,,
